base,r01none,r01big,r01mid,r01small,r005none,r005big,r005mid,r005small,y01none,y01big,y01mid,y01small,y005none, y005big,y005mid,y005small
152.0428571,149.4571429,142.4,150.2,150.4285714,146.2714286,157.2428571,157.6571429,155.1571429,152.3714286,156.8714286,159.5142857,145.0857143,149.1571429,158.2714286,153.4285714,155.9285714
181.9,176.4428571,168.2428571,179.1142857,175.2714286,169.8,186.0142857,185.7857143,181.5714286,179.6,188.0857143,189.5571429,173.1428571,175.3,188.6,184.3428571,186.4428571
188.7571429,182.4571429,176.8,185.3857143,181.4714286,178.1714286,190.7142857,190.3857143,186.5142857,185.8428571,192.7714286,193.9428571,180.7571429,183.0857143,193.1285714,190.2857143,191.4142857
199.3142857,190.3,186.3285714,193.2,186.6142857,189.2,198.0428571,196.9428571,191.6,194.0285714,202.3142857,201.8142857,190.0142857,194.2285714,201.8571429,200.0714286,199.7285714
200.2714286,191.0857143,188.7142857,194.5857143,187.6857143,190.9714286,199.1571429,198.0285714,192.4857143,195.1142857,203.1142857,202.3,191.8857143,195.7,202.6857143,201.4428571,200.7285714
197.8857143,188.8285714,188.0142857,192.0857143,185.8428571,189.5142857,195.7285714,194.6285714,189.6571429,192.1428571,200.1142857,198.9142857,190.5428571,194.6,199.5428571,198.8857143,197.2714286
196.0428571,186.8857143,187,190.6,184.3857143,187.9857143,193.7714286,192.7571429,187.6428571,190.5142857,198.4571429,197.0428571,189.0571429,193.3285714,197.6428571,197.4857143,195.4285714
190.1,181.6285714,182.3714286,185.0428571,179.4285714,182.2142857,188.0571429,187.1571429,182.2857143,185.0428571,192.3571429,191.2,183.9428571,187.3714286,191.8,191.3714286,189.6285714
187.5285714,179.1571429,179.7571429,182.4142857,177.0571429,179.1,185.7571429,184.7571429,179.8857143,182.5571429,190.0857143,188.7857143,181.2428571,184.7714286,189.3428571,189.1428571,187.1857143
182.2285714,173.5142857,174.2428571,176.5571429,171.3857143,173.2142857,180.2571429,179.1,174.1714286,177.0571429,184.4,183.2428571,175.2571429,179.5,183.9428571,183.8285714,181.5571429
179.1571429,170.3571429,171.1142857,173.2428571,168.0142857,169.6571429,176.8857143,175.7142857,170.6,173.8857143,181.4142857,180.1,171.9,176.4571429,180.7714286,180.7,178.2857143
172.2142857,163.1142857,164.2857143,165.7571429,160.8142857,162.0142857,169.6714286,168.6142857,163.6285714,166.5285714,174.4285714,172.8714286,164.4,169.3428571,173.7142857,173.8,171.0142857
168.2571429,158.9571429,160.2571429,161.5857143,156.5714286,157.6857143,165.5142857,164.3285714,159.3428571,162.5571429,170.4428571,168.8857143,160.0571429,165.3428571,169.7,169.8,166.8857143
159.8,150.5428571,152.3857143,153.5,148.2714286,148.5285714,156.8,155.4,150.7142857,153.9428571,161.7428571,160.1285714,151.6857143,156.9142857,160.8714286,161.0428571,157.8857143
