r01none,r01big,r01mid,r01small,r005none,r005big,r005mid,r005small,y01none,y01big,y01mid,y01small,y005none,y005big,y005mid,y005small,WaveLength
0.021531938,0.019877314,0.01559596,0.023411909,0.009851755,0.005209935,0.005912712,0.008963006,0.010249808,-4.15E-05,0.002247647,0.015036884,0.002967795,0.000270019,0.002064807,0.002694402,569
0.015823983,0.013291392,0.009908613,0.016569101,0.00723426,0.002334939,0.003018935,0.005841728,0.010340833,-0.000675091,0.000633852,0.009519983,0.003898466,-0.000253209,0.000613142,0.001355454,573
0.015535995,0.013045692,0.009401606,0.016413181,0.007111765,0.002166817,0.002744024,0.005674996,0.010179911,-0.000633667,0.000253726,0.00914248,0.003946108,-0.000316834,0.000507898,0.001144445,577
0.011141369,0.008776545,0.004560694,0.011844537,0.005000571,0.00032124,0.000707356,0.003364351,0.006641773,-0.003707752,-0.003028238,0.004690469,0.002799994,-0.001747759,-0.001152544,-0.000470294,581
0.011108547,0.008960198,0.004651815,0.011900413,0.005071334,0.000343011,0.000729547,0.003345941,0.006735391,-0.003838809,-0.002946118,0.004738432,0.002759379,-0.001770725,-0.001132369,-0.000513503,585
0.010753969,0.008774802,0.004452125,0.012078443,0.004804676,8.60E-05,0.000495107,0.003227646,0.006629917,-0.004194047,-0.003640018,0.00436524,0.002813388,-0.001905282,-0.001478583,-0.000729835,589
0.010681876,0.008875893,0.004241275,0.012451079,0.004745863,-0.000064592,0.000344815,0.003210627,0.006639855,-0.004626578,-0.003901581,0.004545814,0.002730358,-0.002036139,-0.001587686,-0.0008382,593
0.011809339,0.010525426,0.005908269,0.014611679,0.00537326,0.000388689,0.000973029,0.004226314,0.006083264,-0.003866149,-0.003309827,0.006170788,0.002888534,-0.002018591,-0.001097521,-0.000366457,597
0.012068156,0.012068156,0.007569026,0.016032309,0.005347918,0.000604567,0.001492873,0.005127038,0.004508138,-0.004632518,-0.003863855,0.008008062,0.00216694,-0.002209569,-0.00101104,-0.000344713,601
0.009995906,0.028151565,0.012229671,0.016166621,0.006093303,-0.00239438,-0.002042087,0.002802483,8.38E-05,-0.008253565,-0.012179787,0.021281427,0.00208261,-0.005580373,-0.000209258,-0.001522968,605
0.007449346,0.028456033,0.005296089,0.004635691,0.00840326,-0.007302452,-0.007873815,-0.004402876,-0.000937517,-0.01357783,-0.020833561,0.02034137,0.004160983,-0.00871825,-0.00197011,-0.005479839,609
0.013228617,0.033896064,0.006702474,0.016121573,0.014947507,-0.0048568,-0.004589809,0.000392594,0.005526367,-0.014523112,-0.017907455,0.021428119,0.008025392,-0.007854495,-0.002896808,-0.005356525,613
0.014742525,0.028421134,0.00782713,0.017095137,0.012532667,-0.002239916,-0.001865482,0.002595647,0.006757521,-0.009139271,-0.011770394,0.018807927,0.006624468,-0.004971567,-0.001751395,-0.003035476,617
0.020099639,0.029258973,0.013531305,0.028593541,0.011308648,0.001389622,0.002599097,0.008571462,0.011672741,-0.006488122,-0.005413478,0.020752174,0.005612656,-0.002752847,-0.000823323,-0.000450884,621
0.020390776,0.025814218,0.012508043,0.028187778,0.0103253,0.001211555,0.002445571,0.008610247,0.011329927,-0.006121474,-0.004376887,0.018576353,0.005014085,-0.002602072,-0.001266439,-0.000495099,625
0.020346735,0.022223594,0.012919376,0.027268569,0.009386245,0.002380109,0.003603924,0.00922262,0.012790199,-0.00486365,-0.002251532,0.01642177,0.003635804,-0.001810872,-0.001094574,0.000675127,629
0.020774918,0.020509417,0.012228127,0.026623753,0.009113088,0.002530641,0.003670272,0.009509493,0.012423476,-0.005315711,-0.002209673,0.015757933,0.003027491,-0.00176505,-0.001592331,0.000681483,633
